phase	ticket	state	branch	worktree	base_commit	candidate_commit	verifier	exit_code	evidence_digest	landing_commit	note
cpfr-085	CPFR-085	implementing	feat/cpfr-085-jin-certification	.worktrees/cpfr-085-jin-certification	f89cb21b6484956740c187dda48250be8f3e67c7	8723d1c01bb6aae1e6eab133a3614c3056cdd002					recovered-existing-worktree
cpfr-085	CPFR-085	locally-verified	feat/cpfr-085-jin-certification	.worktrees/cpfr-085-jin-certification	56309557542d48421ba924654443812270b28cd4	d0f89f5357ac4e566f283fc038eff44a0c2849ae	Task-1-Jin-provider-graph-verifier	0	sha256:e5645e3784d15d956e3f94b0120db9e718eb47c6c59442e3dc7ca6bc9bfc057a		tree=97df1146b647bf710757510a31c9c4bf92b0f77b;artifact_manifest_sha256=9a25ac6b2173c4cd4ac3953bac46367b4596f0a54ed162a2921e8f68c6f1deaa;closure_sha256=e0498425be2f30edc876eb5e802628169f80dedd54204b1861dfe62715eb5b7f;source_archive_sha256=33ee5b75c1037866c4d2bda8eff872cc0640fd42e7c31c58a8e6047405f69542
cpfr-085	CPFR-085	spec-approved	feat/cpfr-085-jin-certification	.worktrees/cpfr-085-jin-certification	56309557542d48421ba924654443812270b28cd4	d0f89f5357ac4e566f283fc038eff44a0c2849ae	TraeCode-independent-Jin-mathematical-Spec-reviewer	0	sha256:e5645e3784d15d956e3f94b0120db9e718eb47c6c59442e3dc7ca6bc9bfc057a		tree=97df1146b647bf710757510a31c9c4bf92b0f77b;reviewer_model=GPT-5-based-TraeCode-session;reviewer_run_id=20260824T095150Z;verdict=PASS;critical=0;important=0;nodes=21
cpfr-085	CPFR-085	evidence-published	feat/cpfr-085-jin-certification	.worktrees/cpfr-085-jin-certification	56309557542d48421ba924654443812270b28cd4	d0f89f5357ac4e566f283fc038eff44a0c2849ae	proof-evidence-publish-route-and-review	0	sha256:5931d52d80b2c2c6440900cc85d61cb48169c70e9803f0615ed4ade9b58c4331		tree=97df1146b647bf710757510a31c9c4bf92b0f77b;review_file_sha256=a1962f75a98a3ebf73ee33a472ace2c4ff91eead538156f777b8dcf21dcddb4e;receipt_self_sha256=c4ba0c38396eb50aff8d3f7f3ba8a97ed91e21b998c47d3b3077f0cf95899c7c;review_self_sha256=0b251d062e798d2d8139ec99814e9bba642d5361f71ea13789c6c0372fc87847;validation=complete-local
cpfr-085	CPFR-085	standards-approved	feat/cpfr-085-jin-certification	.worktrees/cpfr-085-jin-certification	56309557542d48421ba924654443812270b28cd4	d0f89f5357ac4e566f283fc038eff44a0c2849ae	TraeCode-independent-final-Standards-reviewer	0	sha256:a1962f75a98a3ebf73ee33a472ace2c4ff91eead538156f777b8dcf21dcddb4e		head=667dc7dba6c20e1515b62056a25cd680215e77ed;verdict=PASS;critical=0;important=0;validation=complete-local
cpfr-085	CPFR-085	release-verified	feat/cpfr-085-jin-certification	.worktrees/cpfr-085-jin-certification	56309557542d48421ba924654443812270b28cd4	d0f89f5357ac4e566f283fc038eff44a0c2849ae	CPFR-085-release-gate	0	sha256:5931d52d80b2c2c6440900cc85d61cb48169c70e9803f0615ed4ade9b58c4331		head=0c402d7;lean_jobs=3407;lean_seconds=15;python_tests=654;python_skips=2;rust_tests=88;route_validation=complete-local
cpfr-085	CPFR-085	landed	feat/cpfr-085-jin-certification	.worktrees/cpfr-085-jin-certification	56309557542d48421ba924654443812270b28cd4	d0f89f5357ac4e566f283fc038eff44a0c2849ae	evidence/crouzeix_conjecture/routes/jin/receipt.json	0	sha256:5931d52d80b2c2c6440900cc85d61cb48169c70e9803f0615ed4ade9b58c4331	66045b6fd0be878bf76ad0171387e53619bf09f0	full_gate=passed;lean_jobs=8771;lean_total_seconds=24;python_tests=655;python_skips=2;rust_unit_tests=413;route_validation=complete-local;postgate_review=PASS;critical=0;important=0
cpfr-086	CPFR-086	implementing	feat/cpfr-086-ls-certification	.worktrees/cpfr-086-ls-certification	56742c15cf62ea017526705e38b657d4122adcbc	56742c15cf62ea017526705e38b657d4122adcbc					fresh-worktree;preflight=ready;missing_artifacts=0
cpfr-086	CPFR-086	locally-verified	feat/cpfr-086-ls-certification	.worktrees/cpfr-086-ls-certification	56742c15cf62ea017526705e38b657d4122adcbc	530c645bcfee7ee76591cc44df1ef3b5fdfd00d0	CPFR-086-post-promotion-gate	0	sha256:b153c84720588897b66708470514044940a28d085e3f6ecfa5bc2aa2ee6c097d		tree=ee69e85f25e3845ea58b71b13e63c3c9e058b5fd;graph_sha256=ebe63abaf21d2ea620bfaa9be7b154ef39dbe4411535533314c14db264ab3826;inventory_sha256=97ea21ee0af6c9d0e38cbc566ad0fc46c5f31b2785fb2f575bcc0e23d84c9b8c;python_tests=166;route_state=mapped-incomplete
cpfr-086	CPFR-086	spec-approved	feat/cpfr-086-ls-certification	.worktrees/cpfr-086-ls-certification	56742c15cf62ea017526705e38b657d4122adcbc	530c645bcfee7ee76591cc44df1ef3b5fdfd00d0	TraeCode-independent-LS-mathematical-Spec-reviewer	0	sha256:9f3fa1cffafc84b82e64c406cd843f43bbb4b1fc83197d69ed44c3f36d921d0a		tree=ee69e85f25e3845ea58b71b13e63c3c9e058b5fd;review_self_sha256=b67fbd93714679422cd80c80d78e5b4b76ab03f11042187b74a6a5be4b34196d;reviewer_model=GPT-5-based-TraeCode-session;reviewer_run_id=cpfr086-ls-promotion-bind-20260825-c19e;verdict=PASS;critical=0;important=0;receipts=289ab539299d35bfe5c2d8f83c5d19d3f05a9f4550831d2bca6fe19fe92e7646,118dcdd0dd1bef0e6ad62344f774098533145b192ec5016dd1c36bd5fc086494,ab3c537bceafec6a51e592994efb806361b4b96dc089426f4783d9e552ae6d5f,4ab5034ddab3983e9ff7deb31e310ba76dc11da69afdf8055e2a945abd9123ae,664249ba38de0c8420df98eb2d576bf0bfda7deae0402344c81e903461a86d51,d8abdd61ab401840bceea052c3814019dba96cf3abdd930725692f39f046f6ed
