source_id	remote	revision	snapshot_path	bytes	sha256
PI-MONO	https://github.com/badlogic/pi-mono.git	4488ad55c18f07ae89a489096c90de8667b3adfb	evidence/implementations/pi/snapshot/packages/agent/src/agent-loop.ts	22114	3f2bef7cd470395d62d869eba2b8d6ade47d4643db71b67f7a25dd2686cc462c
PI-MONO	https://github.com/badlogic/pi-mono.git	4488ad55c18f07ae89a489096c90de8667b3adfb	evidence/implementations/pi/snapshot/packages/agent/src/harness/agent-harness.ts	40564	672e9c47ae3e9ffdbe35d515183dfe9f7f905f4bd620e1f5432b4f4b7c97ed0f
PI-MONO	https://github.com/badlogic/pi-mono.git	4488ad55c18f07ae89a489096c90de8667b3adfb	evidence/implementations/pi/snapshot/packages/agent/src/harness/session/session.ts	16351	bbc9019ab68868cfb978f964c0591de3336d8ce07a3aa174e13c2aa02f09650e
PI-MONO	https://github.com/badlogic/pi-mono.git	4488ad55c18f07ae89a489096c90de8667b3adfb	evidence/implementations/pi/snapshot/packages/coding-agent/examples/extensions/subagent/README.md	6111	b796076a5915e20c40ed8a61157764c4dcf789a9eeeeead4273968e24be7a1ef
HERMES-AGENT	https://github.com/NousResearch/hermes-agent.git	e444d165807f489b5c1ab8e4a612c8d09c2e67a2	evidence/implementations/hermes/snapshot/agent/conversation_loop.py	396984	316e07a67ddb321a317bc9f2727bc24b144c3fa242da7f560ca746c1281d0529
HERMES-AGENT	https://github.com/NousResearch/hermes-agent.git	e444d165807f489b5c1ab8e4a612c8d09c2e67a2	evidence/implementations/hermes/snapshot/agent/curator.py	87057	d84526dd8956e4b4610112d8f76620927a9504ec46f0817a3bd76e6f6630e6bb
HERMES-AGENT	https://github.com/NousResearch/hermes-agent.git	e444d165807f489b5c1ab8e4a612c8d09c2e67a2	evidence/implementations/hermes/snapshot/agent/iteration_budget.py	1994	d0d5b192b6cf555678a5507937a32f043cec8523250fec0fa26b09457f895047
HERMES-AGENT	https://github.com/NousResearch/hermes-agent.git	e444d165807f489b5c1ab8e4a612c8d09c2e67a2	evidence/implementations/hermes/snapshot/agent/memory_manager.py	50027	99be35bdb240393ec52f56e204465622e877ecce24deb450b0cbcf0ef7c87ce7
HERMES-AGENT	https://github.com/NousResearch/hermes-agent.git	e444d165807f489b5c1ab8e4a612c8d09c2e67a2	evidence/implementations/hermes/snapshot/run_agent.py	337854	2692f641e4eed68c97adc3c5582fa14f9ac53e08823d02f7eff7bbaaef669838
HERMES-AGENT	https://github.com/NousResearch/hermes-agent.git	e444d165807f489b5c1ab8e4a612c8d09c2e67a2	evidence/implementations/hermes/snapshot/tools/delegate_tool.py	174847	9c537dd695d990c27e7a7cec51267ed9167fbe6bb752cdb803d43880d50a1cff
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/agent/control.rs	28269	fc7f32488f1de23becbc5899f7078c015995e2e9197db9344c6e77282edce4d6
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/agent/control/spawn.rs	40596	9e2fac1f6c16f83292c384af5f874b3be24e8b38889a07ec07aedb7e731b7314
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/client.rs	96914	650ba7def430a3d5c99b060b932c3fb24d87e0bce083113e9fee2aa6a49d0c62
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/compact.rs	27657	fada387805e46c9fc2799c46d48f8ef65a4fd1cbea85d73b54a11c6b0432acb4
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/compact_remote_v2.rs	31107	1f3d2d05ad7371fd5cca4663fa38dd9daf036235b6e5386be729996df54665b9
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/context/world_state/mod.rs	16192	ee9d1beb90f6aeca529cdbd574576a6bf6a0926dd22dae894ba8a2c727fe0d47
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/context_manager/history.rs	33338	ed41fe58b339eb160809ad3ff363a5904a63849efa83179fad01fbc767a6d873
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/session/rollout_reconstruction.rs	21801	47f1e2923255480036e065ba41f4068248201586639b43e274843e94f7faa410
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/core/src/tools/router.rs	9002	a42d879951b6a8ab8c91386156c52bb51f638f741e7c149df1056b24a2e97482
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/memories/write/src/phase1.rs	29990	e1d4876f0d36066cf84a5a501fb8444d6006ba2aed5ab6a70ce474197df3e310
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/memories/write/src/phase2.rs	21948	54bf9d21b6e976e2911bcefb6f09cdb0db629d85ffa222f961381e85194a2321
CODEX-RSI	https://github.com/openai/codex.git	1e85ca099e4265bf89f4016772d299816e231bb3	evidence/implementations/codex-rsi/snapshot/codex-rs/sandboxing/src/manager.rs	26505	48e87fe4e882ddb555a7839d57259e176aced26c0aca2f3010f9e12b6f579f2c
CODEX-SICP	https://github.com/openai/codex.git	a850875a8eb603d18cb14cb2c5e80c930de9bd48	evidence/implementations/codex-sicp/snapshot/codex-rs/core/src/agent/control.rs	28269	fc7f32488f1de23becbc5899f7078c015995e2e9197db9344c6e77282edce4d6
CODEX-SICP	https://github.com/openai/codex.git	a850875a8eb603d18cb14cb2c5e80c930de9bd48	evidence/implementations/codex-sicp/snapshot/codex-rs/core/src/agent/control/spawn.rs	40596	9e2fac1f6c16f83292c384af5f874b3be24e8b38889a07ec07aedb7e731b7314
CODEX-SICP	https://github.com/openai/codex.git	a850875a8eb603d18cb14cb2c5e80c930de9bd48	evidence/implementations/codex-sicp/snapshot/codex-rs/core/src/session/turn.rs	106101	c5c7bbe2e84eeb2a58bf438c68cad2ff9588300bfa7a8d864fad428c18ea5f28
CODEX-SICP	https://github.com/openai/codex.git	a850875a8eb603d18cb14cb2c5e80c930de9bd48	evidence/implementations/codex-sicp/snapshot/codex-rs/core/src/tools/router.rs	9002	a42d879951b6a8ab8c91386156c52bb51f638f741e7c149df1056b24a2e97482
CODEX-SICP	https://github.com/openai/codex.git	a850875a8eb603d18cb14cb2c5e80c930de9bd48	evidence/implementations/codex-sicp/snapshot/codex-rs/sandboxing/src/manager.rs	26505	48e87fe4e882ddb555a7839d57259e176aced26c0aca2f3010f9e12b6f579f2c
ARC-AGI3-BENCH	https://github.com/arcprize/arc-agi-3-benchmarking.git	86d72170ce3155551712a9fafd290bab471d6eee	evidence/implementations/arc-agi-3/snapshot/benchmarking/agent.py	32267	a9b4bc228a54ff5d028fa727dda231df02e6538527a6aa926edbbd2e9f97a64e
ARC-AGI3-BENCH	https://github.com/arcprize/arc-agi-3-benchmarking.git	86d72170ce3155551712a9fafd290bab471d6eee	evidence/implementations/arc-agi-3/snapshot/benchmarking/runtime_adapters.py	11879	5c55a232d59b42b23fe4eacdd09128280b7fcf416641e0f983045bc6bc473c50
KARPATHY-AUTORESEARCH	https://github.com/karpathy/autoresearch.git	228791fb499afffb54b46200aca536f79142f117	evidence/implementations/autoresearch/snapshot/README.md	8039	3958fd4195ac2f98ed35c4eaa4f3028a335165ee24945e96426c408d25793a41
KARPATHY-AUTORESEARCH	https://github.com/karpathy/autoresearch.git	228791fb499afffb54b46200aca536f79142f117	evidence/implementations/autoresearch/snapshot/program.md	7039	86cf987a5c381e46eefe0d0a82765223fd766d8d7acdc2afacfbbce15ecacece
